ID_Referensi,Kategori,Nama_Modul,Status_Ekosistem,Modul_Odoo_Terkait,Status_Odoo,Deskripsi_Cakupan,Rekomendasi_Saran
REC-01,Keuangan (Finance Core),Akuntansi (Double-Entry General Ledger & Finansial),Rekomendasi Tambahan (Adopsi dari Odoo),Akuntansi,Modul Odoo Tersedia,"Buku besar (General Ledger), Bagan Akun (COA), Neraca Keuangan, Laporan Laba Rugi, Rekonsiliasi Bank, dan Jurnal Otomatis.",[GAP PRIORITAS TINGGI] User sudah punya Invoicing (MOD-07) tapi belum ada pembukuan akuntansi penuh debit/kredit.
REC-02,Keuangan (Finance Core),Pengeluaran & Expense Reimbursement,Rekomendasi Tambahan (Adopsi dari Odoo),Pengeluaran,Modul Odoo Tersedia,"Klaim pengeluaran operasional staf, upload bukti nota/struk, dan validasi reimbursement oleh manajer.",[GAP PRIORITAS SEDANG] Pelengkap keuangan untuk mencatat beban biaya operasional internal.
REC-03,Sales & POS Suite,POS Toko (Point of Sale Ritel),Rekomendasi Tambahan (Adopsi dari Odoo),POS Toko,Modul Odoo Tersedia,"Aplikasi kasir kasir offline/online, barcode scanning cepat, integrasi printer struk, dan laci kasir.",[GAP PRIORITAS TINGGI] Bila bisnis memiliki outlet offline/toko fisik selain online e-commerce (MOD-06).
REC-04,Sales & POS Suite,POS Restoran & Kafe (F&B / Kitchen Order),Rekomendasi Tambahan (Adopsi dari Odoo),POS Restoran,Modul Odoo Tersedia,"Manajemen meja/lantai restoran, transfer pesanan ke dapur (KDS/Kitchen Printer), split bill.",[GAP SPESIFIK F&B] Tambahkan jika bisnis merambah ke industri makanan & minuman.
REC-05,Sales & POS Suite,Rental & Asset Loan Management,Rekomendasi Tambahan (Adopsi dari Odoo),Rental,Modul Odoo Tersedia,"Penyewaan barang/peralatan, jadwal pengembalian, kalkulasi denda keterlambatan, dan deposit jaminan.","[GAP SPESIFIK RENTAL] Dibutuhkan bila ada model bisnis sewa alat, kendaraan, atau properti."
REC-06,Supply Chain & Manufaktur,Purchase & Vendor Procurement,Rekomendasi Tambahan (Adopsi dari Odoo),Purchase,Modul Odoo Tersedia,"Pengadaan barang (RFQ), Surat Perintah Bayar (SPB), Purchase Order (PO) ke vendor, penerimaan barang.",[GAP PRIORITAS TINGGI] Menghubungkan suplai masuk dengan Multi-Warehouse Inventory (MOD-09).
REC-07,Supply Chain & Manufaktur,Manufaktur (MRP & Bill of Materials),Rekomendasi Tambahan (Adopsi dari Odoo),Manufaktur,Modul Odoo Tersedia,"Struktur resep/bahan baku (BOM), Perintah Kerja (Work Order), alur perakitan, dan kalkulasi HPP produk jadi.",[GAP SPESIFIK PRODUKSI] Diperlukan jika bisnis memproduksi barang sendiri bukan sekadar resell.
REC-08,Supply Chain & Manufaktur,PLM (Product Lifecycle Management),Rekomendasi Tambahan (Adopsi dari Odoo),PLM,Modul Odoo Tersedia,"Manajemen revisi desain/formula produk, rekayasa BOM, dan persetujuan ECO (Engineering Change Orders).",[GAP ADVANCED] Untuk industri manufaktur skala menengah-besar.
REC-09,Supply Chain & Manufaktur,Maintenance (Pemeliharaan Aset & Mesin),Rekomendasi Tambahan (Adopsi dari Odoo),Maintenance,Modul Odoo Tersedia,"Jadwal pemeliharaan preventif/korektif mesin, log perbaikan, dan permintaan servis alat kerja.",[GAP OPERASIONAL] Bagus untuk menjaga utilisasi aset dan armada.
REC-10,Supply Chain & Manufaktur,Kualitas (Quality Control & Assurance),Rekomendasi Tambahan (Adopsi dari Odoo),Kualitas,Modul Odoo Tersedia,"Titik inspeksi QC saat penerimaan barang, selama produksi, atau sebelum pengiriman (Pass/Fail criteria).",[GAP STANDARISASI] Menjamin standar mutu produk tetap konsisten.
REC-11,HR & People Operations,Karyawan (Employee Directory & Contract),Rekomendasi Tambahan (Adopsi dari Odoo),Karyawan,Modul Odoo Tersedia,"Master data staf, struktur organisasi, kontrak kerja, dokumen identitas, dan riwayat posisi.",[GAP PRIORITAS TINGGI] Fondasi utama bagi seluruh modul internal SDM.
REC-12,HR & People Operations,Rekrutmen (Applicant Tracking System - ATS),Rekomendasi Tambahan (Adopsi dari Odoo),Rekrutmen,Modul Odoo Tersedia,"Job portal, pipeline pelamar kerja, jadwal interview, evaluasi kandidat, dan penerbitan offer letter.",[GAP HR] Mempermudah proses hiring tanpa platform pihak ketiga berbayar.
REC-13,HR & People Operations,Cuti (Time-Off & Leave Management),Rekomendasi Tambahan (Adopsi dari Odoo),Cuti,Modul Odoo Tersedia,"Alokasi saldo cuti tahunan/khusus, form pengajuan izin/sakit/cuti, dan approval berjenjang atasan.",[GAP HR] Otomatisasi izin staf tanpa form manual.
REC-14,HR & People Operations,Appraisal & KPI Performance Review,Rekomendasi Tambahan (Adopsi dari Odoo),Appraisal,Modul Odoo Tersedia,"Evaluasi berkala performa karyawan, penilaian 360 derajat, pencapaian target OKR/KPI.",[GAP HR] Digunakan saat evaluasi tahunan atau penyesuaian jenjang karir.
REC-15,HR & People Operations,Armada (Fleet & Vehicle Operations),Rekomendasi Tambahan (Adopsi dari Odoo),Armada,Modul Odoo Tersedia,"Manajemen kendaraan operasional, odometer log, konsumsi BBM, servis rutin, dan asuransi.",[GAP LOGISTIK] Penting jika bisnis memiliki armada kurir / logistik pengiriman mandiri.
REC-16,Layanan & Kolaborasi,Project & Timesheet Management,Rekomendasi Tambahan (Adopsi dari Odoo),Project / Timesheet,Modul Odoo Tersedia,"Manajemen task proyek (Kanban/Gantt), pelacakan jam kerja per tugas, dan kalkulasi tagihan billable hours.","[GAP SERVICE] Sangat berguna jika menyediakan jasa agency, konsultasi, atau software development."
REC-17,Layanan & Kolaborasi,Layanan Lapangan (Field Service Dispatch),Rekomendasi Tambahan (Adopsi dari Odoo),Layanan Lapangan,Modul Odoo Tersedia,"Penugasan teknisi/petugas ke lokasi pelanggan, rute kunjungan, material terpakai, dan tanda tangan digital di tempat.","[GAP SPESIFIK FIELD SERVICE] Cocok untuk instalasi, servis AC, teknisi panggilan, dll."
REC-18,E-Learning & Komunitas,eLearning & LMS Course Platform,Rekomendasi Tambahan (Adopsi dari Odoo),eLearning,Modul Odoo Tersedia,"Platform kursus online/onboarding internal, video materi, kuis, pelacakan progres belajar, dan sertifikat otomatis.",[GAP EDUKASI] Cocok untuk kursus berbayar ke publik atau training internal karyawan.
REC-19,E-Learning & Komunitas,Forum & Community Q&A,Rekomendasi Tambahan (Adopsi dari Odoo),Forum,Modul Odoo Tersedia,"Platform diskusi publik berbasis thread, upvote/downvote jawaban, reputasi member, dan FAQ interaktif.",[GAP KOMUNITAS] Membangun engagement audiens/user base.
REC-20,Produktivitas & Dokumen,Dokumen & E-Signature Legal,Rekomendasi Tambahan (Adopsi dari Odoo),Dokumen / Tanda Tangan,Modul Odoo Tersedia,"Penyimpanan dokumen terpusat berizin, preview online, dan alur penandatanganan dokumen legal digital multi-pihak.","[GAP LEGAL] Menghilangkan kebutuhan tanda tangan kertas untuk NDA, kontrak vendor, dan SPK."
REC-21,Produktivitas & Dokumen,Approval Workflow Engine (Multi-Tier),Rekomendasi Tambahan (Adopsi dari Odoo),Approval,Modul Odoo Tersedia,"Engine persetujuan fleksibel multi-level untuk segala jenis permintaan (pembelian, izin khusus, diskon luar standar).",[GAP GOVERNANCE] Menjaga tata kelola persetujuan operasional agar tertib.
REC-22,Produktivitas & Dokumen,Live Chat & Web Widget Support,Rekomendasi Tambahan (Adopsi dari Odoo),Live Chat,Modul Odoo Tersedia,"Widget chat real-time di website, routing ke CS operator yang sedang online, chatbot triage.",[GAP SUPPORT] Alternatif instan untuk pengunjung web sebelum membuka tiket helpdesk (MOD-16).
REC-23,Produktivitas & Dokumen,Survei & Feedback Form Engine,Rekomendasi Tambahan (Adopsi dari Odoo),Survei,Modul Odoo Tersedia,"Kuesioner evaluasi CSAT/NPS, form survei kepuasan pelanggan, dan analitik agregasi grafik respon.",[GAP MARKETING] Berguna untuk riset pasar dan retensi pelanggan.
REC-24,Produktivitas & Dokumen,ESG Sustainability & Carbon Metric Tracker,Rekomendasi Tambahan (Adopsi dari Odoo),ESG,Modul Odoo Tersedia,"Pencatatan jejak karbon, emisi operasional, efisiensi energi, dan pembuatan laporan kepatuhan ESG.",[GAP SPESIFIK ENTERPRISE] Relevan jika menargetkan klien korporat / standar sustainability.
REC-25,Kustomisasi & Integrasi,Studio (Low-Code Schema & Field Extender),Rekomendasi Tambahan (Adopsi dari Odoo),Studio,Modul Odoo Tersedia,"Interface admin untuk menambah custom field (JSONB/kolom dinamis), view form, dan automasi trigger tanpa redeploy.",[GAP EXPANSION] Mempercepat pembuatan modul baru secara visual di atas Supabase.
